physics_scale_h,split,N,aG,aM,aS,dTdt_RMSE,dTdt_MAE,dTdt_R2,endpoint_T_RMSE,endpoint_T_MAE,endpoint_T_R2
1,train,52658,2.3505731841103286,0.05921893563880948,0.06689661759243813,2.0088364187725682,1.3833836779709043,0.06445226499872958,2.011714049685041,1.3855812657243507,0.9297736291955225
1,validation,8643,2.3505731841103286,0.05921893563880948,0.06689661759243813,2.3172577357093522,1.6575647164252847,0.13255125843905902,2.325907165102435,1.6638378038220587,0.9032439588192819
1,test,8648,2.3505731841103286,0.05921893563880948,0.06689661759243813,1.8402826965616041,1.2174986147142466,0.03873750755221006,1.8497433359375397,1.2227530676391334,0.8620144472582976
3,train,52080,3.710842908491207,0.06446754794956705,0.25602432239464623,1.2871225968442044,1.0182435480477035,0.38499094982572846,3.8674853087856476,3.0597405374902142,0.7402602880683146
3,validation,8559,3.710842908491207,0.06446754794956705,0.25602432239464623,1.2967682991095977,1.0436912365559676,0.5956399954890451,3.903692795196609,3.1416556466485384,0.727895876777347
3,test,8527,3.710842908491207,0.06446754794956705,0.25602432239464623,1.3848107140140984,1.0381908595058555,0.22322485307803064,4.169807695996145,3.125192317087288,0.2967461778479531
6,train,51302,2.3389718611974657,0.043364998201619105,0.2384454046562258,0.7164549059071081,0.5600567513555156,0.7064723950864944,4.3060318676983105,3.366047992050312,0.6765748037878525
6,validation,8433,2.3389718611974657,0.043364998201619105,0.2384454046562258,0.7543502470319889,0.5741359393876093,0.7861963410244401,4.536849667117948,3.4535875756435708,0.6341936565197623
6,test,8348,2.3389718611974657,0.043364998201619105,0.2384454046562258,0.7898205360305137,0.6304796026028239,0.5915041132817911,4.752647202986443,3.793417279583356,0.07748100179077966
12,train,49866,0.542965373567948,0.023440112504278333,0.10885594355048966,0.46290969528121434,0.3451198978461143,0.6966436638806888,5.564334919659368,4.148437037526104,0.4608548858236171
12,validation,8192,0.542965373567948,0.023440112504278333,0.10885594355048966,0.5527440381196467,0.43862853748456154,0.7155176745132197,6.646221279927893,5.274179868426867,0.21459130673439286
12,test,8023,0.542965373567948,0.023440112504278333,0.10885594355048966,0.41707836291148936,0.3050689796573922,0.6690347086409127,5.016045223535372,3.6686124002241876,-0.05459851324071385
24,train,47414,0.060535403381419384,0.00042166468497311364,0.0049483238007402616,0.12665585970121804,0.07804454628399198,0.05075053272480645,3.044338133197905,1.8761029030339809,0.838343390285767
24,validation,7763,0.060535403381419384,0.00042166468497311364,0.0049483238007402616,0.1311082272794531,0.08677801510270325,0.04814165387188907,3.1497681063946263,2.084186782983096,0.8205075520502882
24,test,7381,0.060535403381419384,0.00042166468497311364,0.0049483238007402616,0.08249003321903638,0.05645733111877833,0.04009753834788521,1.981379882254447,1.355893061708166,0.8329658994426562
