scenario,T2M_bias_C,wind_scale,solar_scale,N,dTdt_RMSE,delta_dTdt_RMSE,dTdt_R2,mean_abs_rate_shift,endpoint_T_RMSE,delta_endpoint_T_RMSE,mean_abs_endpoint_T_shift,CI95_low,median,CI95_high
Reference,0,1,1,8348,0.7898205360305137,0.0,0.5915041132817911,0.0,4.752647202986443,0.0,0.0,0,0,0
T2M -2C,-2,1,1,8348,0.8008360538436337,0.011015517813119935,0.5800301834194206,0.030309472561647927,4.818982616801974,0.06633541381553076,0.18231888229537996,0.008255605913995698,0.010994162172420996,0.014000892227880118
T2M -1C,-1,1,1,8348,0.7951776922072221,0.0053571561767084,0.5859438682175828,0.015154736280823849,4.784909648033997,0.03226244504755371,0.0911594411476893,0.0039924838143786615,0.005342345579552599,0.006680534611259541
T2M +1C,1,1,1,8348,0.7847707537812656,-0.005049782249248125,0.5967109186120454,0.015154736280824184,4.722232390475685,-0.030414812510758615,0.09115944114769131,-0.006277188571246933,-0.005048463256660529,-0.0036031183625134617
T2M +2C,2,1,1,8348,0.7800343151097057,-0.009786220920808053,0.6015642842083456,0.030309472561648072,4.693701128177777,-0.05894607480866654,0.18231888229538085,-0.012476377307163672,-0.009790164138966773,-0.0069495665036310725
Solar -20%,0,1,0.8,8348,0.8315784231909432,0.0417578871604295,0.5471678333043968,0.04749392676902706,5.004100405254049,0.2514532022676059,0.28597952066694776,0.03863139814206747,0.04183197099213165,0.04459055050770374
Solar -10%,0,1,0.9,8348,0.8100344197189648,0.020213883688451117,0.5703272702265385,0.023746963384513525,4.87436246517262,0.12171526218617679,0.14298976033347388,0.01820858469459887,0.02028112888518052,0.02202417797118523
Solar +10%,0,1,1.1,8348,0.7710413918428756,-0.018779144187638153,0.6106983624701549,0.02374696338451356,4.639586064335614,-0.11306113865082956,0.14298976033347408,-0.02045194780533771,-0.018871096720702696,-0.017006792464574445
Solar +20%,0,1,1.2,8348,0.7538042236070668,-0.03601631242344694,0.6279100177916295,0.04749392676902706,4.535826239931465,-0.21682096305497822,0.2859795206669478,-0.03965737261110684,-0.03622302375558922,-0.03227923813147419
Wind -50%,0,0.5,1,8348,0.7898205360305137,0.0,0.5915041132817911,0.0,4.752647202986443,0.0,0.0,0.0,0.0,0.0
Wind -20%,0,0.8,1,8348,0.7898205360305137,0.0,0.5915041132817911,0.0,4.752647202986443,0.0,0.0,0.0,0.0,0.0
Wind +20%,0,1.2,1,8348,0.7898205360305137,0.0,0.5915041132817911,0.0,4.752647202986443,0.0,0.0,0.0,0.0,0.0
Wind +50%,0,1.5,1,8348,0.7898205360305137,0.0,0.5915041132817911,0.0,4.752647202986443,0.0,0.0,0.0,0.0,0.0
Combined low,-1,0.8,0.9,8348,0.8156786803658148,0.025858144335301092,0.5643185523845358,0.03890169966533738,4.908353822153587,0.15570661916714368,0.2341492014811632,0.02330220402662233,0.025908039773832214,0.028324007607577938
Combined high,1,1.2,1.1,8348,0.7663147853299503,-0.023505750700563377,0.6154566950226146,0.03890169966533774,4.611117549982013,-0.14152965300443032,0.23414920148116536,-0.0258193745750505,-0.023409448812522216,-0.020819230285348083
