epoch,mean_cos,median_cos,negative_frac,strong_negative_frac,median_phys_to_data_norm,p10_cos,p90_cos
0,0.15051653329283,0.14175554364919662,0.0,0.0,116.81109197953549,0.10058951750397682,0.22107243537902832
1,0.3564532781019807,0.44126327335834503,0.0625,0.0625,333.58263020306197,0.10714804381132126,0.5221809148788452
2,0.19205335940932855,0.2309969961643219,0.375,0.0625,177.0577509349005,-0.14066193625330925,0.5392776131629944
3,0.18014401127584279,0.17818117141723633,0.25,0.0625,156.78835641644037,-0.1801500990986824,0.541489765048027
4,0.15157596673816442,0.18310116976499557,0.25,0.0,105.83447862524574,-0.13808107376098633,0.45762230455875397
5,0.1472015818580985,0.18624218553304672,0.3125,0.125,106.06592358364703,-0.24393873661756516,0.45074205100536346
6,0.027728101471439004,-0.012890345882624388,0.5625,0.0625,151.62170798318795,-0.20265091955661774,0.5497329533100128
7,0.12498839163890807,0.01870583085110411,0.5,0.125,133.97567427261203,-0.23390188813209534,0.6013534963130951
8,0.0898217421490699,0.052013907581567764,0.4375,0.125,201.16616122404844,-0.23493404686450958,0.466523677110672
9,0.09801130804407876,0.034691417939029634,0.4375,0.0625,196.5435302444336,-0.22802875936031342,0.5838192701339722
10,-0.010444326559081674,-0.05388491228222847,0.6875,0.25,205.5904663316826,-0.3288729637861252,0.4103385880589485
11,-0.0016851481050252914,0.002596825361251831,0.5,0.1875,180.6000744345602,-0.33242224156856537,0.44695429503917694
12,0.06365735275903717,0.047871597576886415,0.4375,0.0625,191.63970962834705,-0.2212284952402115,0.40844593942165375
13,-0.013184023438952863,-0.09448929503560066,0.5625,0.25,162.33662761641915,-0.28283488750457764,0.310843825340271
14,0.09567526981118135,-0.028698883019387722,0.5625,0.125,168.02575001925703,-0.2610829696059227,0.7026210129261017
