alternative_vs_LSTM,horizon_h,variable,LSTM_pooled_RMSE,alternative_pooled_RMSE,delta_RMSE,CI95_low,bootstrap_median,CI95_high,median_daily_MSE_diff,wilcoxon_stat,p_raw,n_days,holm_p,direction,robust_both
GRU,1,Temperature,2.319341716007541,2.04473940450074,-0.27460231150680103,-0.5434962051640368,-0.26082557839964393,-0.038999368614186423,-1.1663046494437586,103.0,3.949330857722089e-05,38,0.0008688527886988595,better,yes
GRU,1,Humidity,5.05975765393708,5.057804691986558,-0.0019529619505220808,-0.6093157393781748,0.022165302530513742,0.49875418332285754,0.9243194096341192,309.0,0.3805593031429453,38,1.0,better,no
GRU,6,Temperature,2.788761643575436,2.823261825081068,0.03450018150563183,-0.3462710537464978,0.0337454099947565,0.42580509116676163,0.11571519650455375,317.0,0.4464752087369561,38,1.0,worse,no
GRU,6,Humidity,6.736432781783663,7.9441332220047975,1.2077004402211342,0.7211464493158322,1.2120589357703215,1.8250721414513142,16.831417240429687,20.0,2.699380274862051e-09,38,8.638016879558563e-08,worse,yes
GRU,24,Temperature,2.1272825207965136,2.25836660301315,0.1310840822166366,-0.23866502702294629,0.13194978950142155,0.4335302686349861,0.47542164181008306,78.0,4.545370757114142e-06,38,0.0001181796396849677,worse,no
GRU,24,Humidity,6.243108890566777,6.226444616746117,-0.016664273820659936,-0.35701217620792064,-0.023000196777998916,0.3247646452579023,-0.4965551081513464,331.0,0.5757358602786553,38,1.0,better,no
GRU,72,Temperature,2.2738619084431857,2.282350369808551,0.008488461365365296,-0.22574450025998063,0.0088422895946898,0.2043541838192414,-0.023142062138284403,341.0,0.6774802877334878,38,1.0,worse,no
GRU,72,Humidity,6.708574536587253,6.559694885260001,-0.14887965132725256,-0.6329863708453176,-0.16163029862250244,0.32670293623890123,-1.1919258812370543,212.0,0.02071244606486289,38,0.28997424490808044,better,no
TCN,1,Temperature,2.319341716007541,2.362858991234503,0.04351727522696214,-0.3042617033854631,0.05459098693565445,0.27885448409196223,0.0955714049113019,286.0,0.22597493276407477,38,1.0,worse,no
TCN,1,Humidity,5.05975765393708,4.976025020617194,-0.08373263331988579,-0.5915801922654291,-0.116631587365851,0.45683364840756435,-1.5154683568548952,214.0,0.02245430199400289,38,0.29190592592203757,better,no
TCN,6,Temperature,2.788761643575436,3.3136004686973513,0.5248388251219152,-0.2538057769741424,0.5266244428122497,1.3938090300059922,3.707336994121428,48.0,1.7856655176728964e-07,38,5.1784300012513995e-06,worse,no
