model,horizon_h,variable,unit,n_seeds,RMSE_mean,RMSE_SD,RMSE_min,RMSE_max,best_seed,worst_seed,MAE_mean,MAE_SD,R2_mean,R2_SD
LSTM,1,Temperature,°C,5,2.3121293491193056,0.2043400002261505,2.0954847426100263,2.6508716194516673,777,42,1.7321906717722038,0.1412813942013941,0.7662204189218647,0.042605477352562274
LSTM,1,Humidity,%RH,5,5.0430039165112746,0.4599714863809466,4.470103736075325,5.5544991131884025,1234,777,4.11626258616665,0.3530327720568337,0.4590785449345831,0.09708218110377459
LSTM,6,Temperature,°C,5,2.781986091957644,0.2172121337304898,2.5226178731220337,2.9957289824048354,777,20260817,2.1204141614331697,0.1998134803032111,0.6618982987783901,0.051952194992631436
LSTM,6,Humidity,%RH,5,6.731196581340248,0.2968989871213217,6.484802337202336,7.2192336725051005,777,20260817,5.38150900684022,0.29800316633103574,0.03900128622713528,0.08630363336591344
LSTM,24,Temperature,°C,5,2.1141802342632148,0.2635641770449549,1.904061890032832,2.5623065907295373,42,20260817,1.5919695955135946,0.22847160962289212,0.7976761738771222,0.05309699985243807
LSTM,24,Humidity,%RH,5,6.236530251583712,0.320349497726957,5.7904460193602585,6.650680510101685,42,777,4.917091039610746,0.17444147244403296,0.15738592503019783,0.0860808035478795
LSTM,72,Temperature,°C,5,2.2654530220449374,0.21843358137071112,2.1093541426716036,2.6442716536902435,777,42,1.7248486901882238,0.17195827381603224,0.7552582245456281,0.04946493005305624
LSTM,72,Humidity,%RH,5,6.6979629607655955,0.42169966972814815,6.012051718345549,7.0567996651202956,42,31415,5.143081458590324,0.3321068759911531,-0.0483955700481767,0.12816443906139235
GRU,1,Temperature,°C,5,2.035271980923026,0.21973619407058756,1.785914071282754,2.3375195436132943,777,20260817,1.5309420139459977,0.10603712902320882,0.8183007936962552,0.039548256319063196
GRU,1,Humidity,%RH,5,5.035011036581023,0.536251065020539,4.210398238833983,5.712219777898119,20260817,777,4.122389049008019,0.42046593309650043,0.45949603336707356,0.11182023827489927
GRU,6,Temperature,°C,5,2.803534193516062,0.3724972462084893,2.342152056458478,3.328421350701755,31415,777,2.278911465531734,0.2995764732320613,0.6534811419054525,0.0921814130706445
GRU,6,Humidity,%RH,5,7.934372361035171,0.44015321963133996,7.554458079479222,8.666002670825527,1234,777,6.396049866129558,0.3402268346795887,-0.3364597459556739,0.1517437867116381
GRU,24,Temperature,°C,5,2.248250518803609,0.23871876315148294,1.976483575086425,2.5491961011094757,1234,42,1.7235889486774645,0.2163011714721979,0.7719733685742162,0.0484319698024845
GRU,24,Humidity,%RH,5,6.20669308852848,0.5540458805679919,5.762717442108233,7.149022006942798,42,777,4.901315460804722,0.4766488712606868,0.16187817780776012,0.15566664268901806
GRU,72,Temperature,°C,5,2.2799442112438655,0.11714096305742995,2.1436943355299856,2.4145796907726162,1234,31415,1.7448733744276612,0.13487013445177998,0.7534275427634167,0.025377810808523242
GRU,72,Humidity,%RH,5,6.533604590320604,0.6534600648162665,5.912576831540288,7.472907502429185,42,777,5.018907046583744,0.5658050909641469,-0.0023789937960230654,0.2029694818243235
TCN,1,Temperature,°C,5,2.3554596444474187,0.20890331447039134,2.083470169697851,2.6320963145650347,42,31415,1.7237629831628631,0.15992538300293263,0.7573654137657073,0.04276978291872401
TCN,1,Humidity,%RH,5,4.972482842539576,0.20987909155595302,4.78318492499486,5.310620205990304,777,1234,4.010729883155153,0.1952569574941203,0.47683354888328333,0.0448411807686275
TCN,6,Temperature,°C,5,3.2360389745850475,0.7968687322246504,2.4446629238708626,4.449570243569588,42,777,2.3791533106967853,0.6170501870801214,0.5226632752635822,0.24155247969615154
TCN,6,Humidity,%RH,5,6.226692580427391,0.6611227476406691,5.488572989260388,7.287794801570108,42,1234,4.900902689851459,0.5336810219939753,0.17152984436465474,0.1807351097361033
TCN,24,Temperature,°C,5,2.171216755334328,0.22306443859919134,1.9206935560750875,2.4328620595138992,1234,20260817,1.5963647765818814,0.11323673780998503,0.7874530863147902,0.04366131611041581
TCN,24,Humidity,%RH,5,5.884500206748602,0.3381514827137988,5.551284025277152,6.367956659875465,777,1234,4.662895046472382,0.37225259307685543,0.24942889081501604,0.08709760945088367
TCN,72,Temperature,°C,5,2.199912729072023,0.1709696131177931,1.9854428743971035,2.3776780336395924,42,777,1.618722745195355,0.09897731012170714,0.7698111687984944,0.03527638310740212
TCN,72,Humidity,%RH,5,6.416380055465123,0.3066329070248888,6.07247293551708,6.7561030077612525,42,20260817,4.9455409302186135,0.28074971745108773,0.039189839949886715,0.09174214821210575
Transformer,1,Temperature,°C,5,2.5760497317409707,0.20056884810763126,2.3661119253367975,2.858454473986231,777,20260817,1.9748488419435735,0.13592896873645954,0.7102078215243239,0.04556919107145184
Transformer,1,Humidity,%RH,5,4.922679810821015,0.5653741735782035,4.194625845972689,5.615352610607291,31415,20260817,3.8996240738289814,0.42249927244353924,0.4825875567935592,0.11778742953307277
Transformer,6,Temperature,°C,5,2.7635750435259263,0.14522243776740582,2.5338712521910325,2.934743017902852,20260817,1234,2.107553179506001,0.08548554134337237,0.6672443579334913,0.034379746997835046
Transformer,6,Humidity,%RH,5,7.031859366390947,0.7000635573215979,6.278582287021047,7.838462262831336,42,777,5.4711357953630415,0.6167675957217968,-0.0554391202222418,0.20870385235047248
Transformer,24,Temperature,°C,5,2.459449400593729,0.35568544050867734,2.0886810834079435,3.0423627994056033,1234,20260817,1.864593943253902,0.2786241159183938,0.7250340364879151,0.08285170484415291
Transformer,24,Humidity,%RH,5,6.040266690345549,0.2510687811130433,5.730025326743784,6.366469567607376,42,20260817,4.726354775133636,0.18343670026681355,0.21016027203805346,0.06564355884140384
Transformer,72,Temperature,°C,5,2.6462702189800464,0.43918981654571826,2.3313037731762987,3.3836679035877046,777,20260817,1.994109279659338,0.3005762233456004,0.6612226531527697,0.11927671064611917
Transformer,72,Humidity,%RH,5,6.307407595586113,0.45754859398648134,5.8940928970044,7.086637425044198,42,20260817,4.812797050588508,0.3852922417947742,0.0693402488618142,0.139476615037957
Fixed physics LSTM,1,Temperature,°C,5,2.4130755756353715,0.22034924929516977,2.186503743262713,2.7771622151715736,1234,42,1.7512083482735616,0.12728256693825946,0.74525458706422,0.048015436757157644
Fixed physics LSTM,1,Humidity,%RH,5,4.947523047834452,0.3389594519360317,4.542377641893289,5.304910726032379,42,31415,4.0222699445329635,0.2810596564543946,0.4808675832784952,0.07040186687495642
Fixed physics LSTM,6,Temperature,°C,5,3.472041591131414,0.17949141297947868,3.254672968819759,3.6540377968826463,1234,31415,2.4681137811091904,0.13913526477472302,0.47480337003317735,0.053789728627386284
Fixed physics LSTM,6,Humidity,%RH,5,6.949733463365973,0.6266914996886191,6.535023940921445,8.041261812742148,1234,20260817,5.584262896728515,0.4961263297119724,-0.029473495607359967,0.19430145487959113
Fixed physics LSTM,24,Temperature,°C,5,2.2746694759748967,0.3518469920602497,1.9592587643408594,2.7362817453042063,42,20260817,1.6940506310606835,0.30041446466974986,0.7642414278777145,0.07372783152298015
Fixed physics LSTM,24,Humidity,%RH,5,6.108367297074773,0.223243466911454,5.837364520344103,6.344344148356618,42,1234,4.855525849459465,0.11657282819766446,0.19250285322988098,0.05868933690519476
Fixed physics LSTM,72,Temperature,°C,5,2.2650115745567514,0.17120766329347614,2.1233819633638435,2.5565700130473763,1234,42,1.716352118875604,0.1496496724699548,0.7560497036307113,0.038162843627991515
Fixed physics LSTM,72,Humidity,%RH,5,6.678140136535127,0.4498164009505075,5.9879248688062425,7.187123335211545,42,31415,5.161644670110334,0.3436970869141759,-0.04267548502803795,0.13755290548528903
